L,beta,Hoffdiag_value,Hoffdiag_std,Hoffdiag_Eint_value,Hoffdiag_Eint_std,Hoffdiag_Fint_value,Hoffdiag_Fint_std,mc_steps,avg_q,max_q,avg_sgn,sgn_std,tot_cpu_time (s),wall_time (s),Tsteps,steps,Hoffdiag_test,Hoffdiag_Eint_test,Hoffdiag_Fint_test,offdiag_ES_value,offdiag_ES_std,offidag_FS_value,offdiag_FS_std
10,1.0256410256410300,-23.8822614,0.00413731799,607.542604,0.232697197,77.5869364,0.0302215241,100000000000,24.4940124,70,1,0,2304202.61,12930.8493,10000000,500000000,FALSE,FALSE,FALSE,22.5555193,0.0487280933,2.58859213,0.00707473095
10,1.0526315789473700,-24.0946857,0.00225144255,634.049895,0.136423751,83.0902987,0.0183562138,100000000000,25.3629508,70,1,0,2426934.81,12873.1766,10000000,500000000,TRUE,TRUE,TRUE,22.9405502,0.0459878898,2.68117436,0.00733928966
10,1.081081081081080,-24.2990767,0.00334373139,661.7052,0.2047643,89.0383175,0.0281208117,100000000000,26.2687602,74,1,0,3835642.63,19685.2984,10000000,500000000,TRUE,TRUE,TRUE,23.3861416,0.0507472686,2.77898525,0.00801915765
10,1.0,-23.5780855,0.00302897088,577.850755,0.167235969,71.9579751,0.021315598,100000000000,23.580027,66,1,0,2474822.63,13194.3543,10000000,500000000,FALSE,FALSE,FALSE,21.9246401,0.0412548968,2.46721068,0.00625803319
10,1.1111111111111100,-24.4687247,0.00322377524,689.199892,0.209025672,95.2993206,0.0301235774,100000000000,27.188025,76,1,0,4026242.67,22437.0679,10000000,500000000,FALSE,FALSE,FALSE,23.9571266,0.0630556974,2.90449204,0.0109000688
10,1.1428571428571400,-24.5857136,0.00330363423,715.442861,0.215203301,101.718986,0.032201569,100000000000,28.099814,76,1,0,3211397.52,18091.9122,10000000,500000000,FALSE,FALSE,FALSE,24.6345023,0.0568325515,3.03207746,0.0100869187
10,1.176470588235290,-24.6012001,0.00316394434,737.367908,0.212502288,107.882603,0.0317299322,100000000000,28.942177,80,1,0,4344790.93,22768.9845,10000000,500000000,TRUE,TRUE,TRUE,25.3455034,0.0568130594,3.17342623,0.0101439045
10,1.2121212121212100,-24.5762222,0.00422486155,758.232811,0.306665658,114.250705,0.0470575111,100000000000,29.7907966,80,1,0,3559731.65,19432.5105,10000000,500000000,FALSE,FALSE,FALSE,26.1228773,0.0880008104,3.32495698,0.0152632489
10,1.25,-24.4343245,0.00377934962,772.992726,0.286635131,120.054948,0.0456939279,100000000000,30.5422672,82,1,0,3738772.71,19196.8437,10000000,500000000,TRUE,TRUE,TRUE,26.6974587,0.089069138,3.44631197,0.0160942993
10,1.2903225806451600,-24.2615124,0.00445728611,786.640079,0.335213344,126.037318,0.0560392887,100000000000,31.3063318,86,1,0,3476523.03,19458.3295,10000000,500000000,FALSE,FALSE,FALSE,27.1291322,0.0899612405,3.53555226,0.0187619629
10,1.3333333333333300,-24.0037591,0.0039167157,795.461687,0.325942644,131.628421,0.0562151536,100000000000,32.0028356,84,1,0,3601156.36,18727.7052,10000000,500000000,TRUE,TRUE,TRUE,27.2210871,0.11422447,3.58832072,0.0232385981
10,1.3793103448275900,-23.7629342,0.00399216846,805.76274,0.352582078,137.852834,0.0621384209,100000000000,32.7786102,84,1,0,3934249.72,26691.7852,10000000,500000000,FALSE,FALSE,FALSE,26.8978574,0.131398852,3.56578543,0.0259715187
10,1.4285714285714300,-23.5219799,0.00417172963,817.19573,0.360238528,144.704272,0.067420102,100000000000,33.5997524,86,1,0,4583717.32,25791.272,10000000,500000000,FALSE,FALSE,FALSE,26.7906775,0.136300001,3.56051219,0.0298194043
10,1.4814814814814800,-23.2790678,0.00351225264,828.729099,0.327950554,152.122671,0.0649018181,100000000000,34.4883764,90,1,0,4209650.77,24200.9078,10000000,500000000,FALSE,FALSE,FALSE,25.892068,0.12788274,3.44914672,0.0304356732
10,1.5384615384615400,-23.0769712,0.00373077744,844.512294,0.387546661,160.867311,0.0800703764,100000000000,35.5072814,88,1,0,4641145.05,25706.9035,10000000,500000000,FALSE,FALSE,FALSE,25.2098308,0.157097225,3.30914532,0.0375636513
10,1.6666666666666700,-22.7796098,0.00337247726,889.254995,0.364828688,183.431098,0.0826075014,100000000000,37.9684062,94,1,0,5082679.34,28706.1638,10000000,500000000,FALSE,FALSE,FALSE,24.4039593,0.16186596,3.25379896,0.0423987785
10,1.6,-22.9137115,0.00314038489,864.877926,0.342885152,171.305259,0.0722734635,100000000000,36.6648856,92,1,0,4802905.6,29475.3199,10000000,500000000,FALSE,FALSE,FALSE,24.8168479,0.163453765,3.29304338,0.0395413458
10,1.7391304347826100,-22.6398806,0.00268163503,915.594543,0.319475859,197.001517,0.0766801532,100000000000,39.3728914,96,1,0,6079490.83,41128.4853,10000000,500000000,TRUE,TRUE,TRUE,24.1785501,0.165565453,3.21543208,0.0448130129
10,1.8181818181818200,-22.5401978,0.00302014496,947.370255,0.381728416,213.060487,0.0926940703,100000000000,40.985866,106,1,0,6284058.93,43795.8399,10000000,500000000,FALSE,FALSE,FALSE,23.6238585,0.189559801,3.11812464,0.0527313576
10,1.9047619047619000,-22.4692285,0.00308787012,985.301796,0.420487673,232.098934,0.10995336,100000000000,42.7986378,100,1,0,7423252.9,47603.9802,10000000,500000000,FALSE,FALSE,FALSE,23.6518361,0.207533455,3.13465817,0.0624198883
10,2.0,-22.3758075,0.00314861731,1024.50856,0.481892843,253.381465,0.13111246,100000000000,44.7544534,110,1,0,7249277.1,39173.1273,10000000,500000000,TRUE,TRUE,TRUE,23.1550344,0.250905041,3.04308405,0.0756251967
15,1.176470588235290,-57.0451605,0.0117565552,3883.39465,1.66844934,569.962426,0.246114216,80000000000,67.1129996,132,1,0,13902596.3,36824.189,10000000,200000000,TRUE,TRUE,TRUE,54.9824971,0.192627317,6.96063825,0.0339426413
15,1.2121212121212100,-57.5258283,0.0126672511,4068.03157,1.87423566,615.145335,0.284155718,80000000000,69.7251238,144,1,0,15242319.9,40022.2764,10000000,200000000,TRUE,TRUE,TRUE,56.8547,0.210818477,7.39126362,0.0355007955
